Image,Class,Path,split
Image1,0,..\Images\Image1.jpg,0.4967141530112327
Image2,0,..\Images\Image2.jpg,-0.13826430117118466
Image3,1,..\Images\Image3.jpg,0.6476885381006925
Image6,0,..\Images\Image6.jpg,-0.23413695694918055
Image7,0,..\Images\Image7.jpg,1.5792128155073915
Image8,0,..\Images\Image8.jpg,0.7674347291529088
Image9,0,..\Images\Image9.jpg,-0.4694743859349521
Image10,1,..\Images\Image10.jpg,0.5425600435859647
Image11,1,..\Images\Image11.jpg,-0.46341769281246226
Image13,1,..\Images\Image13.jpg,0.24196227156603412
Image15,0,..\Images\Image15.jpg,-1.7249178325130328
Image16,1,..\Images\Image16.jpg,-0.5622875292409727
Image17,1,..\Images\Image17.jpg,-1.0128311203344238
Image18,0,..\Images\Image18.jpg,0.3142473325952739
Image19,0,..\Images\Image19.jpg,-0.9080240755212109
Image20,0,..\Images\Image20.jpg,-1.4123037013352915
Image21,0,..\Images\Image21.jpg,1.465648768921554
Image22,0,..\Images\Image22.jpg,-0.22577630048653566
Image23,0,..\Images\Image23.jpg,0.06752820468792384
Image24,0,..\Images\Image24.jpg,-1.4247481862134568
Image27,0,..\Images\Image27.jpg,-1.1509935774223028
Image28,0,..\Images\Image28.jpg,0.37569801834567196
Image29,0,..\Images\Image29.jpg,-0.600638689918805
Image31,0,..\Images\Image31.jpg,-0.6017066122293969
Image32,1,..\Images\Image32.jpg,1.8522781845089378
Image33,1,..\Images\Image33.jpg,-0.013497224737933921
Image34,1,..\Images\Image34.jpg,-1.0577109289559004
Image35,0,..\Images\Image35.jpg,0.822544912103189
Image36,0,..\Images\Image36.jpg,-1.2208436499710222
Image37,1,..\Images\Image37.jpg,0.2088635950047554
Image38,0,..\Images\Image38.jpg,-1.9596701238797756
Image39,0,..\Images\Image39.jpg,-1.3281860488984305
Image40,0,..\Images\Image40.jpg,0.19686123586912352
Image42,0,..\Images\Image42.jpg,0.1713682811899705
Image44,0,..\Images\Image44.jpg,-0.3011036955892888
Image45,0,..\Images\Image45.jpg,-1.4785219903674274
Image47,0,..\Images\Image47.jpg,-0.4606387709597875
Image49,0,..\Images\Image49.jpg,0.3436182895684614
Image51,0,..\Images\Image51.jpg,0.324083969394795
Image52,1,..\Images\Image52.jpg,-0.38508228041631654
Image53,1,..\Images\Image53.jpg,-0.6769220003059587
Image58,1,..\Images\Image58.jpg,-0.3092123758512146
Image59,1,..\Images\Image59.jpg,0.33126343140356396
Image60,1,..\Images\Image60.jpg,0.9755451271223592
Image61,0,..\Images\Image61.jpg,-0.47917423784528995
Image62,0,..\Images\Image62.jpg,-0.18565897666381712
Image63,0,..\Images\Image63.jpg,-1.1063349740060282
Image64,0,..\Images\Image64.jpg,-1.1962066240806708
Image65,0,..\Images\Image65.jpg,0.812525822394198
Image66,0,..\Images\Image66.jpg,1.356240028570823
Image67,0,..\Images\Image67.jpg,-0.07201012158033385
